,datetime,home_goal,away_goal,league_name,league_abbr,team,opponent,avg_goal
148,09/11,4,1,Austria,AT,Rapid Wien,Admira,3
149,09/19,1,1,Austria,AT,Rapid Wien,Sturm Graz,0
150,09/26,1,2,Austria,AT,Rapid Wien,St. Polten,-1
151,10/04,3,0,Austria,AT,Rapid Wien,LASK Linz,3
152,09/13,0,0,Austria,AT,St. Polten,Sturm Graz,0
153,09/20,0,5,Austria,AT,St. Polten,Admira,-5
154,09/26,1,2,Austria,AT,St. Polten,Rapid Wien,-1
155,10/03,2,4,Austria,AT,St. Polten,Wolfsberger AC,-2
156,09/11,1,0,Austria,AT,Austria Wien,LASK Linz,1
157,09/20,2,1,Austria,AT,Austria Wien,Ried,1
158,09/27,2,2,Austria,AT,Austria Wien,Admira,0
159,10/03,0,2,Austria,AT,Austria Wien,WSG Tirol,-2
160,09/11,1,0,Austria,AT,LASK Linz,Austria Wien,1
161,09/19,1,1,Austria,AT,LASK Linz,WSG Tirol,0
162,09/27,3,1,Austria,AT,LASK Linz,Wolfsberger AC,2
163,10/04,3,0,Austria,AT,LASK Linz,Rapid Wien,3
164,09/13,0,0,Austria,AT,Sturm Graz,St. Polten,0
165,09/19,1,1,Austria,AT,Sturm Graz,Rapid Wien,0
166,09/27,1,1,Austria,AT,Sturm Graz,Hartberg,0
167,10/04,4,0,Austria,AT,Sturm Graz,R. Altach,4
168,09/13,3,2,Austria,AT,WSG Tirol,Ried,1
169,09/19,1,1,Austria,AT,WSG Tirol,LASK Linz,0
170,09/26,0,2,Austria,AT,WSG Tirol,R. Altach,-2
171,10/03,0,2,Austria,AT,WSG Tirol,Austria Wien,-2
172,09/11,4,1,Austria,AT,Admira,Rapid Wien,3
173,09/20,0,5,Austria,AT,Admira,St. Polten,-5
174,09/27,2,2,Austria,AT,Admira,Austria Wien,0
175,10/03,3,1,Austria,AT,Admira,Ried,2
176,09/13,3,2,Austria,AT,Ried,WSG Tirol,1
177,09/20,2,1,Austria,AT,Ried,Austria Wien,1
178,09/26,1,3,Austria,AT,Ried,Salzburg,-2
179,10/03,3,1,Austria,AT,Ried,Admira,2
180,09/13,1,3,Austria,AT,Wolfsberger AC,Salzburg,-2
181,09/20,0,2,Austria,AT,Wolfsberger AC,Hartberg,-2
182,09/27,3,1,Austria,AT,Wolfsberger AC,LASK Linz,2
183,10/03,2,4,Austria,AT,Wolfsberger AC,St. Polten,-2
184,09/12,1,1,Austria,AT,Hartberg,R. Altach,0
185,09/20,0,2,Austria,AT,Hartberg,Wolfsberger AC,-2
186,09/27,1,1,Austria,AT,Hartberg,Sturm Graz,0
187,10/04,7,1,Austria,AT,Hartberg,Salzburg,6
188,09/12,1,1,Austria,AT,R. Altach,Hartberg,0
189,09/19,4,1,Austria,AT,R. Altach,Salzburg,3
190,09/26,0,2,Austria,AT,R. Altach,WSG Tirol,-2
191,10/04,4,0,Austria,AT,R. Altach,Sturm Graz,4
192,07/17,3,1,Australia,AU,Sydney FC,Wellington,2
193,07/21,1,2,Australia,AU,Sydney FC,Newcastle Jets,-1
194,08/01,2,0,Australia,AU,Sydney FC,Melbourne City,2
195,08/06,1,1,Australia,AU,Sydney FC,Adelaide Utd,0
196,08/10,1,1,Australia,AU,Sydney FC,Brisbane Roar,0
197,08/15,1,2,Australia,AU,Sydney FC,Western Utd,-1
198,03/14,1,1,Australia,AU,Melbourne City,WS Wanderers,0
199,03/20,2,4,Australia,AU,Melbourne City,Central Coast,-2
200,03/23,2,1,Australia,AU,Melbourne City,Newcastle Jets,1
201,08/01,2,0,Australia,AU,Melbourne City,Sydney FC,2
202,08/11,2,2,Australia,AU,Melbourne City,Adelaide Utd,0
203,08/19,1,3,Australia,AU,Melbourne City,Western Utd,-2
204,07/17,3,1,Australia,AU,Wellington,Sydney FC,2
205,07/22,1,2,Australia,AU,Wellington,Perth Glory,-1
206,07/25,1,1,Australia,AU,Wellington,Adelaide Utd,0
207,07/31,1,0,Australia,AU,Wellington,WS Wanderers,1
208,08/05,1,1,Australia,AU,Wellington,Brisbane Roar,0
209,08/13,3,0,Australia,AU,Wellington,Newcastle Jets,3
210,03/13,1,0,Australia,AU,Brisbane Roar,Central Coast,1
211,03/20,1,0,Australia,AU,Brisbane Roar,Newcastle Jets,1
212,07/19,0,1,Australia,AU,Brisbane Roar,Adelaide Utd,-1
213,07/29,1,2,Australia,AU,Brisbane Roar,Melbourne Vic.,-1
214,08/05,1,1,Australia,AU,Brisbane Roar,Wellington,0
215,08/10,1,1,Australia,AU,Brisbane Roar,Sydney FC,0
216,07/25,1,2,Australia,AU,Western Utd,Melbourne Vic.,-1
217,08/02,1,0,Australia,AU,Western Utd,Newcastle Jets,1
218,08/07,5,3,Australia,AU,Western Utd,WS Wanderers,2
219,08/12,0,2,Australia,AU,Western Utd,Perth Glory,-2
220,08/15,1,2,Australia,AU,Western Utd,Sydney FC,-1
221,08/19,1,3,Australia,AU,Western Utd,Melbourne City,-2
222,07/18,1,0,Australia,AU,Perth Glory,Central Coast,1
223,07/22,1,2,Australia,AU,Perth Glory,Wellington,-1
224,07/30,5,3,Australia,AU,Perth Glory,Adelaide Utd,2
225,08/04,1,3,Australia,AU,Perth Glory,WS Wanderers,-2
226,08/08,0,4,Australia,AU,Perth Glory,Melbourne Vic.,-4
227,08/12,0,2,Australia,AU,Perth Glory,Western Utd,-2
228,03/15,0,3,Australia,AU,Adelaide Utd,Newcastle Jets,-3
229,07/19,0,1,Australia,AU,Adelaide Utd,Brisbane Roar,-1
230,07/25,1,1,Australia,AU,Adelaide Utd,Wellington,0
231,07/30,5,3,Australia,AU,Adelaide Utd,Perth Glory,2
232,08/06,1,1,Australia,AU,Adelaide Utd,Sydney FC,0
233,08/11,2,2,Australia,AU,Adelaide Utd,Melbourne City,0
234,03/20,1,0,Australia,AU,Newcastle Jets,Brisbane Roar,1
235,03/23,2,1,Australia,AU,Newcastle Jets,Melbourne City,1
236,07/21,1,2,Australia,AU,Newcastle Jets,Sydney FC,-1
237,07/24,0,0,Australia,AU,Newcastle Jets,Central Coast,0
238,08/02,1,0,Australia,AU,Newcastle Jets,Western Utd,1
239,08/13,3,0,Australia,AU,Newcastle Jets,Wellington,3
240,03/21,1,1,Australia,AU,WS Wanderers,Sydney FC,0
241,07/27,1,1,Australia,AU,WS Wanderers,Central Coast,0
242,07/31,1,0,Australia,AU,WS Wanderers,Wellington,1
243,08/04,1,3,Australia,AU,WS Wanderers,Perth Glory,-2
244,08/07,5,3,Australia,AU,WS Wanderers,Western Utd,2
245,08/12,2,1,Australia,AU,WS Wanderers,Melbourne Vic.,1
246,03/15,3,0,Australia,AU,Melbourne Vic.,Wellington,3
247,07/25,1,2,Australia,AU,Melbourne Vic.,Western Utd,-1
248,07/29,1,2,Australia,AU,Melbourne Vic.,Brisbane Roar,-1
249,08/03,2,3,Australia,AU,Melbourne Vic.,Central Coast,-1
250,08/08,0,4,Australia,AU,Melbourne Vic.,Perth Glory,-4
251,08/12,2,1,Australia,AU,Melbourne Vic.,WS Wanderers,1
252,03/13,1,0,Australia,AU,Central Coast,Brisbane Roar,1
253,03/20,2,4,Australia,AU,Central Coast,Melbourne City,-2
254,07/18,1,0,Australia,AU,Central Coast,Perth Glory,1
255,07/24,0,0,Australia,AU,Central Coast,Newcastle Jets,0
256,07/27,1,1,Australia,AU,Central Coast,WS Wanderers,0
257,08/03,2,3,Australia,AU,Central Coast,Melbourne Vic.,-1
258,08/30,1,2,Belgium,BE,Club Brugge,KRC Genk,-1
259,09/12,4,1,Belgium,BE,Club Brugge,Beveren,3
260,09/20,0,6,Belgium,BE,Club Brugge,Zulte-Waregem,-6
261,09/27,2,1,Belgium,BE,Club Brugge,Cercle Brugge,1
262,10/04,3,0,Belgium,BE,Club Brugge,Anderlecht,3
263,10/17,1,1,Belgium,BE,Club Brugge,Standard Liege,0
264,08/30,2,0,Belgium,BE,Charleroi,Antwerp,2
265,09/13,0,2,Belgium,BE,Charleroi,Zulte-Waregem,-2
266,09/18,3,1,Belgium,BE,Charleroi,Beerschot-Wil.,2
267,09/27,1,1,Belgium,BE,Charleroi,Mouscron,0
268,10/04,1,2,Belgium,BE,Charleroi,Standard Liege,-1
269,10/18,2,1,Belgium,BE,Charleroi,KRC Genk,1
270,08/30,0,3,Belgium,BE,Standard Liege,Beerschot-Wil.,-3
271,09/12,1,0,Belgium,BE,Standard Liege,OH Leuven,1
272,09/20,2,1,Belgium,BE,Standard Liege,Kortrijk,1
273,09/27,2,2,Belgium,BE,Standard Liege,Zulte-Waregem,0
274,10/04,1,2,Belgium,BE,Standard Liege,Charleroi,-1
275,10/17,1,1,Belgium,BE,Standard Liege,Club Brugge,0
276,08/30,0,3,Belgium,BE,Beerschot-Wil.,Standard Liege,-3
277,09/14,5,2,Belgium,BE,Beerschot-Wil.,KRC Genk,3
278,09/18,3,1,Belgium,BE,Beerschot-Wil.,Charleroi,2
279,09/26,3,2,Belgium,BE,Beerschot-Wil.,Beveren,1
280,10/04,5,1,Belgium,BE,Beerschot-Wil.,Gent,4
281,10/17,6,3,Belgium,BE,Beerschot-Wil.,Sint-Truiden,3
282,08/30,2,0,Belgium,BE,Antwerp,Charleroi,2
283,09/13,2,3,Belgium,BE,Antwerp,Sint-Truiden,-1
284,09/20,2,2,Belgium,BE,Antwerp,Eupen,0
285,09/25,1,3,Belgium,BE,Antwerp,Kortrijk,-2
286,10/02,4,1,Belgium,BE,Antwerp,KV Mechelen,3
287,10/18,1,3,Belgium,BE,Antwerp,Zulte-Waregem,-2
288,08/29,0,1,Belgium,BE,Cercle Brugge,Kortrijk,-1
289,09/13,2,0,Belgium,BE,Cercle Brugge,Anderlecht,2
290,09/21,3,0,Belgium,BE,Cercle Brugge,Sint-Truiden,3
291,09/27,2,1,Belgium,BE,Cercle Brugge,Club Brugge,1
292,10/03,1,2,Belgium,BE,Cercle Brugge,Eupen,-1
293,10/17,5,2,Belgium,BE,Cercle Brugge,Gent,3
294,08/29,1,3,Belgium,BE,OH Leuven,Beveren,-2
295,09/12,1,0,Belgium,BE,OH Leuven,Standard Liege,1
296,09/19,3,1,Belgium,BE,OH Leuven,Oostende,2
297,09/26,2,3,Belgium,BE,OH Leuven,Gent,-1
298,10/03,2,1,Belgium,BE,OH Leuven,Zulte-Waregem,1
299,10/18,2,2,Belgium,BE,OH Leuven,Anderlecht,0
300,08/28,2,2,Belgium,BE,Anderlecht,Oostende,0
301,09/13,2,0,Belgium,BE,Anderlecht,Cercle Brugge,2
302,09/19,2,4,Belgium,BE,Anderlecht,Beveren,-2
303,09/27,1,1,Belgium,BE,Anderlecht,Eupen,0
304,10/04,3,0,Belgium,BE,Anderlecht,Club Brugge,3
305,10/18,2,2,Belgium,BE,Anderlecht,OH Leuven,0
306,08/29,0,1,Belgium,BE,Kortrijk,Cercle Brugge,-1
307,09/13,3,0,Belgium,BE,Kortrijk,Mouscron,3
308,09/20,2,1,Belgium,BE,Kortrijk,Standard Liege,1
309,09/25,1,3,Belgium,BE,Kortrijk,Antwerp,-2
310,10/03,0,0,Belgium,BE,Kortrijk,Sint-Truiden,0
311,10/17,1,2,Belgium,BE,Kortrijk,KV Mechelen,-1
312,08/30,1,2,Belgium,BE,KRC Genk,Club Brugge,-1
313,09/14,5,2,Belgium,BE,KRC Genk,Beerschot-Wil.,3
314,09/20,3,1,Belgium,BE,KRC Genk,KV Mechelen,2
315,09/28,2,2,Belgium,BE,KRC Genk,Oostende,0
316,10/03,1,1,Belgium,BE,KRC Genk,Beveren,0
317,10/18,2,1,Belgium,BE,KRC Genk,Charleroi,1
318,08/24,0,0,Belgium,BE,Oostende,Sint-Truiden,0
319,08/28,2,2,Belgium,BE,Oostende,Anderlecht,0
320,09/12,0,1,Belgium,BE,Oostende,KV Mechelen,-1
321,09/19,3,1,Belgium,BE,Oostende,OH Leuven,2
322,09/28,2,2,Belgium,BE,Oostende,KRC Genk,0
323,10/04,3,0,Belgium,BE,Oostende,Mouscron,3
324,08/29,1,1,Belgium,BE,Eupen,Sint-Truiden,0
325,09/11,2,1,Belgium,BE,Eupen,Gent,1
326,09/20,2,2,Belgium,BE,Eupen,Antwerp,0
327,09/27,1,1,Belgium,BE,Eupen,Anderlecht,0
328,10/03,1,2,Belgium,BE,Eupen,Cercle Brugge,-1
329,10/18,0,2,Belgium,BE,Eupen,Mouscron,-2
330,08/30,1,0,Belgium,BE,Gent,KV Mechelen,1
331,09/11,2,1,Belgium,BE,Gent,Eupen,1
332,09/19,0,1,Belgium,BE,Gent,Mouscron,-1
333,09/26,2,3,Belgium,BE,Gent,OH Leuven,-1
334,10/04,5,1,Belgium,BE,Gent,Beerschot-Wil.,4
335,10/17,5,2,Belgium,BE,Gent,Cercle Brugge,3
336,08/30,1,0,Belgium,BE,KV Mechelen,Gent,1
337,09/12,0,1,Belgium,BE,KV Mechelen,Oostende,-1
338,09/20,3,1,Belgium,BE,KV Mechelen,KRC Genk,2
339,09/26,2,0,Belgium,BE,KV Mechelen,Sint-Truiden,2
340,10/02,4,1,Belgium,BE,KV Mechelen,Antwerp,3
341,10/17,1,2,Belgium,BE,KV Mechelen,Kortrijk,-1
342,08/29,0,1,Belgium,BE,Zulte-Waregem,Mouscron,-1
343,09/13,0,2,Belgium,BE,Zulte-Waregem,Charleroi,-2
344,09/20,0,6,Belgium,BE,Zulte-Waregem,Club Brugge,-6
345,09/27,2,2,Belgium,BE,Zulte-Waregem,Standard Liege,0
346,10/03,2,1,Belgium,BE,Zulte-Waregem,OH Leuven,1
347,10/18,1,3,Belgium,BE,Zulte-Waregem,Antwerp,-2
348,08/29,1,1,Belgium,BE,Sint-Truiden,Eupen,0
349,09/13,2,3,Belgium,BE,Sint-Truiden,Antwerp,-1
350,09/21,3,0,Belgium,BE,Sint-Truiden,Cercle Brugge,3
351,09/26,2,0,Belgium,BE,Sint-Truiden,KV Mechelen,2
352,10/03,0,0,Belgium,BE,Sint-Truiden,Kortrijk,0
353,10/17,6,3,Belgium,BE,Sint-Truiden,Beerschot-Wil.,3
354,08/22,4,1,Belgium,BE,Beveren,Zulte-Waregem,3
355,08/29,1,3,Belgium,BE,Beveren,OH Leuven,-2
356,09/12,4,1,Belgium,BE,Beveren,Club Brugge,3
357,09/19,2,4,Belgium,BE,Beveren,Anderlecht,-2
358,09/26,3,2,Belgium,BE,Beveren,Beerschot-Wil.,1
359,10/03,1,1,Belgium,BE,Beveren,KRC Genk,0
360,08/29,0,1,Belgium,BE,Mouscron,Zulte-Waregem,-1
361,09/13,3,0,Belgium,BE,Mouscron,Kortrijk,3
362,09/19,0,1,Belgium,BE,Mouscron,Gent,-1
363,09/27,1,1,Belgium,BE,Mouscron,Charleroi,0
364,10/04,3,0,Belgium,BE,Mouscron,Oostende,3
365,10/18,0,2,Belgium,BE,Mouscron,Eupen,-2
366,09/26,1,1,Brazil,BR,Internacional,Sao Paulo,0
367,10/03,1,1,Brazil,BR,Internacional,Gremio,0
368,10/09,0,2,Brazil,BR,Internacional,Bragantino,-2
369,10/11,2,1,Brazil,BR,Internacional,Atletico PR,1
370,10/15,3,5,Brazil,BR,Internacional,Sport Recife,-2
371,10/18,2,0,Brazil,BR,Internacional,Vasco da Gama,2
372,10/04,3,1,Brazil,BR,Flamengo,Atletico PR,2
373,10/07,3,0,Brazil,BR,Flamengo,Sport Recife,3
374,10/10,1,2,Brazil,BR,Flamengo,Vasco da Gama,-1
375,10/13,2,1,Brazil,BR,Flamengo,Goias,1
376,10/15,1,1,Brazil,BR,Flamengo,Bragantino,0
377,10/18,1,5,Brazil,BR,Flamengo,Corinthians,-4
378,09/27,3,1,Brazil,BR,Atletico MG,Gremio,2
379,10/04,4,1,Brazil,BR,Atletico MG,Vasco da Gama,3
380,10/08,2,1,Brazil,BR,Atletico MG,Fortaleza,1
381,10/11,3,0,Brazil,BR,Atletico MG,Goias,3
382,10/15,1,1,Brazil,BR,Atletico MG,Fluminense,0
383,10/19,3,1,Brazil,BR,Atletico MG,Bahia,2
384,09/12,2,2,Brazil,BR,Sao Paulo,Santos,0
385,09/26,1,1,Brazil,BR,Sao Paulo,Internacional,0
386,10/04,1,1,Brazil,BR,Sao Paulo,Coritiba,0
387,10/07,3,0,Brazil,BR,Sao Paulo,Atletico GO,3
388,10/10,0,2,Brazil,BR,Sao Paulo,Palmeiras,-2
389,10/18,0,0,Brazil,BR,Sao Paulo,Gremio,0
390,09/27,1,1,Brazil,BR,Santos,Fortaleza,0
391,10/04,2,3,Brazil,BR,Santos,Goias,-1
392,10/07,1,1,Brazil,BR,Santos,Corinthians,0
393,10/11,2,1,Brazil,BR,Santos,Gremio,1
394,10/14,0,1,Brazil,BR,Santos,Atletico GO,-1
395,10/17,1,2,Brazil,BR,Santos,Coritiba,-1
396,09/28,4,0,Brazil,BR,Fluminense,Coritiba,4
397,10/04,1,1,Brazil,BR,Fluminense,Botafogo,0
398,10/07,2,4,Brazil,BR,Fluminense,Goias,-2
399,10/11,1,0,Brazil,BR,Fluminense,Bahia,1
400,10/15,1,1,Brazil,BR,Fluminense,Atletico MG,0
401,10/17,2,2,Brazil,BR,Fluminense,Ceara,0
402,09/19,1,0,Brazil,BR,Fortaleza,Internacional,1
403,09/27,1,1,Brazil,BR,Fortaleza,Santos,0
404,10/04,0,0,Brazil,BR,Fortaleza,Atletico GO,0
405,10/08,2,1,Brazil,BR,Fortaleza,Atletico MG,1
406,10/10,0,0,Brazil,BR,Fortaleza,Coritiba,0
407,10/18,2,0,Brazil,BR,Fortaleza,Palmeiras,2
408,09/27,1,1,Brazil,BR,Palmeiras,Flamengo,0
